DictName;tag_code
Accelerated;5
Accounting;10
Account;8
Accounts;8
Accretion;11
Accrual;12
Accrued;12
Accumulated;13
Accured;15
Acquired;16
Acquisition;17
Additional;22
Additions;23
Adjustment;26
Administrative;27
Administrator;28
Advance;30
Advanced;30
Advances;30
Advancesfor;30
Advertising;31
Advisory;33
Affiliate;34
Affordable;35
Aggregate;40
Agricultural;42
Air;44
Alliance;48
Allocation;50
Allowance;51
Amortization;52
Amortizationof;52
Amount;54
Amounts;54
Annuity;58
Arbitration;63
Arrangement;66
Asbestos;67
Assessments;68
Asset;69
Assetbacked;70
Assets;69
Assignor;71
Auction;76
Audience;77
Available;80
Bank;85
Basis;91
Below;94
Belowmarket;94
Beneficial;95
Benefit;96
Benefits;96
Billing;97
Billings;97
Bills;98
Biomass;99
Bond;103
Bonds;103
Book;105
Borrowed;107
Borrowings;109
Branch;110
Bridge;111
Broadcast;112
Brokerage;114
Brokered;115
Buffalos;116
Build;117
Business;119
Capital;127
Capitalization;128
Care;132
Carriers;133
Carrying;134
Cash;135
Cashier;136
Casualty;137
Cease;140
Ceded;141
Certificate;144
Certificateof;144
Certificates;144
Change;145
Channel;146
Checking;150
Checks;151
Cigarette;152
Claim;153
Claims;153
Class;154
Client;158
Clinical;159
Closed;160
Closing;161
Collaboration;165
Collateralized;169
Commercial;174
Commisions;175
Commission;175
Commissions;175
Commitments;176
Commodity;178
Common;179
Company;182
Compensated;183
Compensation;184
Comprehensive;186
Consideration;192
Construction;195
Consultant;196
Consumer;198
Content;199
Contingency;200
Contingent;201
Contingently;201
Continuing;202
Contract;203
Contractholder;204
Contracts;203
Contractual;206
Contributed;207
Contribution;208
Contributions;208
Conversion;210
Convertible;211
Core;214
Corporate;215
Cost;218
Costs;218
Credit;224
Cross;226
Cumulative;227
Current;229
Customer;231
Dealer;236
Debentures;237
Debt;238
Debtand;238
Debtor;239
Deemed;243
Default;244
Deferred;245
Deficit;247
Defined;248
Demand;250
Deposit;254
Deposits;254
Depreciation;255
Derivative;256
Developmental;259
Development;259
Dining;263
Director;264
Directors;264
Discontinued;267
Discounted;268
Discount;268
Disposal;269
Disputed;270
Distribution;272
Distributions;272
Distributionto;272
Dividend;275
Dividends;275
Dollar;277
Domestic;279
Donated;280
Donations;280
Draft;283
Drafts;283
Drilling;285
Due;287
Dueto;287
Duetobrokers;287
Early;289
Earnings;292
Earnout;293
Earn;290
Economic;294
Effect;296
Embedded;298
Employee;299
Energy;302
Entrusted;306
Environmental;308
Equipment;309
Equity;310
Escrow;312
Escrowed;312
Escrows;312
Estimated;315
Eur;316
Euro;316
Excess;317
Exchangeable;319
Exchange;318
Excise;320
Exit;325
Expense;328
Exploration;329
Export;330
Extended;331
Facility;334
Factoring;335
Factor;335
Fair;336
Fdic;337
Federal;339
Fee;340
Fees;340
Fiduciary;342
Finance;344
Financed;344
Financial;344
Financing;344
Finite;346
Flooring;351
Floor;351
Foreclosed;354
Foreign;355
Forgivable;356
Former;357
Forward;358
Franchise;360
Fund;366
Funds;366
Futures;369
Gain;370
Gains;370
Gaming;371
Gasand;372
Gas;372
General;374
Gold;378
Goods;379
Goodwill;380
Grant;384
Grants;384
Gross;386
Growers;389
Guaranteed;390
Guarantee;390
Guarantees;390
Guaranty;390
Hedging;393
Held;394
Home;400
Hybrid;403
Imputed;411
Incentive;412
Income;415
Increase;416
Independent;422
Industrial;425
Information;426
Installment;430
Institutional;431
Insurance;433
Intangible;435
Intercompany;436
Interest;438
Intergroup;436
Intermezzo;439
Inventory;442
Invested;443
Investment;444
Investments;444
Investor;445
Issuance;447
Issued;449
Jackpot;452
Joint;454
Junior;456
Label;459
Labor;460
Landlord;462
Land;461
Landunder;461
Lease;464
Leased;466
Leasehold;464
Legacy;468
Legal;469
Lending;471
Less;472
Letter;474
Letters;474
Leveraged;475
Liabilities;476
Liabilitiesof;476
Liability;476
Liabilityfor;476
Liabilityon;476
Liablities;476
License;477
Licensing;477
Life;481
Limited;483
Line;484
Lineof;484
Lines;484
Liquidated;486
Liquidating;486
Liquidation;486
Liquidity;487
Listed;488
Litigation;489
Loan;491
Loanand;491
Loans;491
Long;493
Longterm;495
Loss;496
Losses;496
Maintenance;500
Malpractice;502
Management;503
Manager;504
Managers;504
Managing;503
Mandatorily;506
Mandatory;506
Manufacturer;507
Margin;509
Marketable;511
Marketing;512
Maturity;515
Maximum;516
Medical;521
Medium;522
Mediumterm;523
Member;524
Members;524
Membership;525
Merchandise;526
Merger;528
Mezzanine;531
Milestone;532
Mineral;534
Mine;533
Mining;536
Minority;537
Monetary;539
Money;540
Mortgage;543
Mortgages;543
Mulitfamily;545
Net;552
Netinvestment;444
Non;557
Non-;557
Note;559
Notes;560
Notesand;560
Now;562
Nuclear;563
Obligation;565
Obligations;565
Occupancy;566
Offering;569
Office;570
Official;572
Off;568
Oil;574
Open;578
Operating;579
Operator;581
Option;582
Options;582
Ordinaryshares;829
Ordinary;584
Organization;585
Origination;586
Other;587
Out;588
Outsourced;591
Outstanding;592
Overnight;595
Owner;600
Owners;600
Paid;602
Parent;605
Parents;605
Partially;607
Participating;608
Participation;609
Partner;610
Partners;610
Partnership;611
Patent;614
Patenting;615
Patronage;617
Payable;619
Payablefor;619
Payables;619
Payablesto;619
Payableto;619
Payble;619
Payments;620
Payment;620
Payroll;621
Penalty;623
Pending;624
Pension;625
Performance;628
Pharmacy;635
Placement;637
Policy;643
Policyholder;644
Policyholders;644
Portfolio;646
Postage;651
Postemployment;652
Postretirement;653
Predecessor;659
Preference;660
Preferred;661
Preffered;661
Prefunded;662
Pre;658
Prefunding;662
Premium;663
Premiumon;663
Premiums;663
Prepaid;664
Prepayment;665
Present;666
Previous;668
Primary;670
Principal;671
Private;675
Proceeds;677
Processing;679
Product;681
Production;682
Professional;683
Profit;684
Program;685
Programming;686
Project;689
Promissory;690
Property;692
Provision;696
Provisionsfor;696
Public;697
Purchase;700
Purchased;701
Puregraft;702
Put;705
Qualified;706
Qualifying;706
Real;711
Realized;712
Reallocation;713
Rebate;715
Recall;716
Receipts;718
Receivable;719
Receivables;719
Reciprocal;721
Reclamation;723
Reclassified;725
Recognition;726
Recorded;729
Recourse;730
Redeemable;734
Redemption;736
Redemptions;736
Refundable;742
Refund;741
Refunds;741
Registration;743
Regulatory;746
Reimbursement;748
Reinsurance;749
Related;751
Rental;757
Rent;756
Rents;756
Repayment;760
Repayments;760
Representation;763
Repurchase;766
Resale;800
Rescission;769
Research;770
Reserve;771
Reserves;771
Residuals;773
Restricted;776
Restructuring;778
Retail;779
Retained;782
Retention;783
Retirement;784
Returned;788
Returnof;787
Revenue;789
Revenues;789
Reverse;790
Revolving;791
Reward;792
Risk;794
Royalties;797
Royalty;797
Safety;798
Salaries;799
Sale;800
Salesand;800
Sales;800
Saving;803
Savings;803
Second;804
Section31;805
Section;805
Securedand;806
Secured;806
Securities;808
Securitization;807
Securitized;807
Security;808
Self;810
Sellers;811
Selling;812
Senior;813
Separate;815
Series.001;817
Series100;817
Series;817
Service;819
Servicer;820
Services;819
Servicing;821
Settled;825
Settlement;826
Severance;828
Share;829
Shareholder;831
Shareholders;831
Shares;829
Short;836
Shortterm;837
Site;839
Solar;841
Special;844
Sponsor;848
Stable;852
Standard;854
Statutory;859
Stipulated;860
Stock;861
Stockholders;862
Stockolders;862
Subclass;154
Subordinated;871
Subscription;875
Subscriptions;875
Subservicing;876
Subsidiary;877
Subsription;875
Subtotal;879
Sum;882
Supplemental;885
Supplementary;885
Supplier;886
Surplus;889
Swap;891
Syndication;892
Tax;895
Taxes;895
Teamster;897
Technical;898
Technology;899
Temporary;903
Tenant;905
Tenants;905
Term;906
Terminated;907
Termination;908
Time;916
Tolling;919
Total;921
Trade;924
Trading;925
Transaction;929
Transactions;929
Transfers;930
Translation;933
Transportation;934
Travelers;935
Treasury;936
Trust;939
Trustee;940
Unallocated;942
Unamortized;943
Unbilled;946
Unclaimed;948
Unconditional;951
Underwriter;955
Underwriting;956
Undesignated;957
Undistributed;959
Unearned;960
Unfavorable;962
Unfunded;963
Unit;965
Unlimited;968
Unrealized;971
Unrecognized;972
Unsecured;975
Unsettled;976
Valuation;984
Value;985
Variable;986
Variation;987
Vehicle;988
Vendor;989
Virtual;993
Voluntary;995
Voting;996
Warehouse;1000
Warrant;1001
Warrants;1001
Warranty;1002
Waste;1003
Wholesale;1006
Withdrawal;1010
Workers;1016
Working;1017
Work;1015
Wrap;1018
Written;1021
And;56
Payableand;619
With;1009
Wagering;997
For;353
Allowances;51
Board;102
Bonuses;104
Buyout;122
Capping;129
Ceding;142
Charge;147
Clearing;157
Consulting;197
Contingencies;200
Cooperative;212
Copyright;213
Data;234
Digital;261
Distributions;272
Drug;286
Engineering;303
Expenses;328
Freight;361
Giveback;376
Government;382
Incentives;412
Initial;428
Interconnection;437
Judgment;455
Liabilitiesand;476
Medicaid;520
Merchant;527
Network;553
Officers;571
Ongoing;576
Outside;590
Player;640
Pole;642
Price;669
Procurement;680
Progress;687
Promotions;691
Rebates;715
Remediation;754
Rentrelated;756
Satellite;801
Settlements;826
Severanceand;828
State;855
Structuring;866
Tariffs;894
Tool;920
Utilities;982
Vacation;983
Volume;994
Wages;998
Holdback;397
Holdbacks;397
Paidin;602
Condominium;189
From;362
Receipt;718
Parties;612
Under;953
Housing;402
Indebtedness;419
Sustainabilty;890
Traffic;926
Cds;139
Owing;598
Withheld;1011
Before;93
Including;414
Award;81
Backed;82
Based;89
Sold;842
Deficiency;246
Acceptances;6
Overdrafts;594
Owned;599
Difference;260
Market;510
Withdrawals;1010
Overdraft;594
Deposits;254
Rights;793
Clients;158
Deposits2;254
Creative;223
Acquisitions;17
Combination;172
Entity;305
Accumulation;14
Expenditures;327
Leases;464
Units;965
Trusts;939
Collateral;168
Denominated;251
Liabilitiesin;476
Period;629
Use;980
Not;558
Trial;938
Block;101
Agreement;41
Financings;344
Paper;603
Stock0.001;861
Stockholder;862
Stocks;861
Stocksubscribed1;861
Stocktobe;861
Unitholders;966
Absences;4
Issuable;446
Repayable;759
Holder;398
Consolidated;194
Debenture;237
Debts;238
Draw;284
Promote;691
Balances;83
Card;131
Cards;131
Maturities;515
Matutities;515
Portion;647
Portionof;647
Year;1022
Advancesor;30
Finished;345
Funding;367
Loyalty;498
Excluding;321
Instrument;432
Netof;552
Subject;870
Airborne;45
Barter;88
Collaborative;166
Credits;224
Ground;387
Manufacturing;508
Patient;616
Paymentto;620
Recurring;732
Revenueand;789
Spectrum;845
Subscriber;874
System;893
Regular;745
Negotiable;551
Received;720
Depletion;253
Instruments;432
Stage;853
Rewards;792
Operation;580
Group;388
Prepayments;665
Licensors;478
Exercise;324
Per;626
Purchases;700
Appropriated;62
Method;530
Waivers;999
Idienfication;406
Indemnification;420
Coal;164
Lived;490
Plan;638
Currency;228
Withholding;1012
Heldfor;394
Gathering;373
Imbalance;407
Delivery;249
Beneficiaries;95
Taxand;895
Decrease;241
Decreasein;241
Affiliates;34
Committee;177
Bearing;92
Credited;225
Rate;710
Sensitive;814
Write;1019
Note11;559
Venture;990
Abandonment;2
Railcar;707
Improvement;410
Impairment;409
Pass;613
Associated;72
Deferral;245
Policies;643
Assignment;71
Accident;7
Creditand;224
Creditwith;224
Damages;233
Accruals;12
Participations;609
Eligible;297
Pollution;645
Date;235
Interests;438
Loanson;491
Plans;638
Investmentfrom;444
Sponsorship;850
Controlling;209
Perpetual;631
Receivalbles;719
Decommissioning;240
Fuel;363
Building;118
Commitment;176
Comprehense;186
Ownership;601
Than;909
Companys;182
Depositsand;254
Notices;561
Agencyand;38
Pursuant;704
Pursuantto;704
Broker;113
Black;100
Dufrane;287
Telephone;900
Division;276
Coupons;220
Funded;367
Disposition;269
Petition;633
Lender;470
Return;787
Sharing;833
Plant;639
Order;583
Divestiture;274
Estate;314
Shareholding;832
Rightsliability;476
Party;612
Agreements;41
Cashand;135
Storm;864
Charges;147
Points;641
Analysis;55
Leaseback;465
Returns;787
Lien;479
Loaned;491
Soldunder;842
Bonus;104
Par;604
Designated;257
Awards;81
Redeemed;735
Tracking;923
Module;538
Assessment;68
Equity1;310
Issuances;447
Payable1;619
Recapitalization;717
Subscribed;873
Subsrciption;875
Receive;720
Payable0;619
Receivable1;719
Recived;722
Executive;323
Unemployment;961
Licenses;477
Indemnity;421
Percent;627
Deposits100000;254
Deposits250000;254
Amortized;53
Cybergy;232
Dolphin;278
Guided;391
Renewable;755
Uncertain;947
Victory;991
Advisor;32
Advisors;32
Accounted;9
Accountedforas;9
Cheques;151
Corpus;216
Employees;299
Esop;313
Repurchases;766
Trades;924
Added;21
Print;672
Coupon;220
Reported;761
Authorized130000;79
Term1;906
Presented;666
Machinery;499
Franchisee;360
Gainsand;370
Gift;375
Flow;352
Availableforsale;80
Transfer;930
Issue;448
Governmental;382
Sale1;800
Disability;265
Possession;649
Store;863
And2015;56
Without;1014
Penalties;623
Associates;72
Discontinuing;267
Considerations;192
Value50000;985
Shipments;835
Holdings;399
Cancellation;126
Historical;396
Value300000000;985
Necessity;549
Feespayabletoother;340
Remainder;752
Tradeand;924
Through;914
Capitaland;127
Investing;443
Over;593
Founder;359
Earned;291
Disclosures;266
Overdrawn;594
Trans;928
Calls;123
Value310000;985
Vie;992
Success;880
Withdrawl;1010
Collaborator;167
Reallowances;714
Contributionrevenue;208
Functional;365
Medicaland;521
Down;282
And667955;56
Periodic;630
Fixed;349
Licensor;478
Includes;414
Heldforinvestment;394
Than100000;909
Linked;485
Transferof;930
Agreementsto;41
Certain;143
Stock.01;861
Value3000000;985
Meter;529
Designated160000;257
Entry;307
Feeder;341
Authorized164359;79
Practicable;656
Separation;816
Protection;693
Commissionsand;175
Shortat;836
Expected;326
Subsidy;878
Holders;398
Sovereign;843
Developmentand;259
Linesof;484
Disclosure;266
Unvested;978
Shares2011;829
Supply;887
Natural;548
Engineered;303
Intangibles;435
Consignor;193
Rebatesand;715
Greater;385
Mandated;505
Under250000;953
Adjusted;25
Universal;967
And8500;56
Material;514
And822026;56
Plantand;639
Securitiesto;808
Securitizations;807
Demandand;250
And193661;56
Doubtful;281
Operations;580
And48294;56
Reimbursable;747
Buyback;121
Value2000000;985
Reconciliation;728
Than2500000;909
Inputs;429
Enterprise;304
Internet;441
Banks;85
Unrelated;974
Customers;231
Inception;413
Extraordinary;332
Current1;229
Punits;699
Attributableto;75
Incentiveand;412
Improvements;410
Value5000;985
Acquisitionof;17
Facilities;334
Damage;233
Salary;799
Jurisdictionsin;457
Obligationsnet;565
Authorized39312;79
Shares2010;829
Authorized275000;79
Film;343
Note21;559
Progressive;688
Basic;90
Rolling;796
Authorized15000;79
Value.0001;985
Earning;292
Redeemableand;734
Employer;300
Committments;176
Stock.00001;861
Ownerhip;601
Impairments;409
Severances;828
Series2;817
Risks;794
Priorto;674
Future;369
Borrowings4;109
Registry;744
Hedge;393
Authorized13404;79
Borrowings1;109
Positions;648
Limit;482
Vies;992
Adjustable;24
Liabilitynoncurrent;476
Parentas;605
Terms;906
Hedges;393
Banking;86
Withholdings;1012
Reinsurers;750
Restrictions;777
Befory;93
Priority;674
Mortgagebacked;544
Products;681
Theater;911
Well;1004
Dispose;269
Occupied;567
Deducting;242
Pretax;667
Bankruptcy;87
Accidentand;7
Obligationsfor;565
None;557
Authorized583334;79
Continuous;202
Contractors;205
Mall;501
Wholly;1007
Control;209
Unappropriated;944
Current2;229
Agent;39
Refining;740
Value250;985
Settleable;824
Value30000000;985
Compromise;187
Liabilities1;476
Against;37
Arrangements;66
Surcharges;888
Summary;884
Used;981
Issued2100;449
Cashbased;135
Benefitsand;96
Grain;383
Taxable;896
Title;917
Balance1;83
Issed;449
Vendors;989
Treximet;937
Heldtomaturity;394
Adjustments;26
Srs;851
Minimum;535
Spin;846
Adoption;29
Vehicles;988
Cancelable;125
Appreciation;61
Authorized3600000;79
Paymentinkind;620
Tax1;895
Position;648
Businesses;119
Unsubordinated;977
Health;392
Commonly;180
Sets;822
Note8.;559
Series0.001;817
Outstanding9974.185;592
Differential;260
Process;678
Items;451
All;47
Foward;358
Value375000;985
Authorized145320;79
Unauthorized;945
Outstanding1;592
And40000;56
Combined;173
Undiscounted;958
Rentand;756
Authorized;79
Liability1;476
Governing;381
Identifiable;405
Than100;909
Estimate;315
Suit;881
Buildto;117
And18005;56
Net1;552
Within;1013
Partnerships;611
Connection;190
Heldforsale;394
Preferences;660
Borrowings3;109
Multi;546
Number;564
Merchants;527
Operatios;580
Call;123
Hotel;401
Repair;758
Dealers;236
Foreclosure;354
Discounts;268
Arrangementwith;66
Heldin;394
Reclassification;724
International;440
Adviser;32
Provider;695
Utility;982
Issuer;450
Incurred;418
Otherthan;587
Sub;869
Jurisdicitions;457
Issued1000000;449
Sheet;834
Recoverable;731
Activities;19
Programs;685
Value15000;985
Sharebased;830
Stated;856
Value850;985
Allocated;49
Subsidiaries;877
New;554
Investors;445
Outstanding133;592
Currently;229
Airline;46
Software;840
Stock10;861
Relating;751
Retailers;780
Five;348
Entities;305
Shipment;835
Master;513
Acquirees;16
Planand;638
Increment;417
Value1000000;985
Arising;65
Acquiree;16
Termand;906
Raise;708
Derivatives;256
Forwards;358
Above;3
Newedge;555
Distributors;273
Tobacco;918
Indemnifications;420
Retainage;781
Reduction;737
Maturitiesof;515
Balloon;84
Developers;258
Department;252
But;120
Diluted;262
Upfront;979
Netted;552
Offset;573
Outstanding3006000;592
Segments;809
Yet;1023
Recognized;727
Subjectto;870
Purchasing;701
Classified;155
Wind;1008
Debtnetof;238
Lieu;480
Ventures;990
Writers;1020
That;910
Leasing;467
Benefitof;96
Impaired;409
And5877;56
Dueunder;287
Funeral;368
Course;221
Television;901
Assigned;71
Note12;559
Saleleaseback;800
Currentand;229
Borrowings2;109
Insured;434
Pulse;698
Expenditure;327
Value2550;985
Overrides;596
Value240000;985
Serp;818
And0;56
Authorized10000;79
Lessthan250000;472
Called;124
Current3;229
Association;73
Compensationand;184
Authority;78
Student;867
Settle;823
Stock0.60;861
Post;650
Purpose;703
During;288
Values;985
Trials;938
Convertable;211
Onshore;577
Temporarily;902
Borrowing;109
Range;709
Prior;673
Partnerships1;611
Deductibles;242
Consenting;191
Western;1005
Tranche;927
Component;185
Collections;171
Cancellations;126
Outcomes;589
Exercises;324
Founding;359
Act;18
Pearl;622
Independently;422
Reentering;738
Unredeemed;973
Transferred;931
Lessor;473
Authorized400870;79
Previously;668
Representatives;764
Converting;211
Practices;657
One;575
Annual;57
Relatedto;751
Lower;497
Deposits250000or;254
Companies;182
Ten;904
Collected;170
Appeal;60
Equivalents;311
Maturitiesnetof;515
Feature;338
Club;163
Balance;83
Thrift;913
Chargebacks;148
Need;550
Predecessors;659
Car;130
Value601230;985
Right;793
Issuedand;449
And10628;56
Media;519
Part;606
Operators;581
Organizations;585
Discontinuance;267
Reporting;762
Bookings;106
Edge;295
Annuities;58
Statement;857
Par20000000;604
Authorized672670;79
Several;827
Respectively;775
And641668;56
Law;463
Closure;162
Subprime;872
Transition;932
Excessof;317
National;547
Reserved;771
Toward;922
Lenders;470
Note8;559
Exercised;324
Authorized57188313;79
Local;492
Commodities;178
Assumed;74
Unclassified;949
Required;768
Payablenet;619
Face;333
Retirementor;785
Insuranc;433
Clawback;156
Value25000;985
Unredeeemed;973
Provided;694
Stock0.01;861
Probable;676
Than250000;909
Prices;669
Obligationamount;565
Impact;408
Studies;868
Uncompleted;950
Summarized;883
Losson;496
Executed;322
Underlying;954
Communities;181
Value100000;985
Agency;38
Payableunissued;619
Authorized696000;79
Expenses-;328
Issuing;449
And41152;56
Remaining;753
Dealersfor;236
Tier;915
Resources;774
Pay;618
Attributable;75
Disposed;269
Catastrophe;138
Deduction;242
Authorized250000;79
Corp;215
Employeerelated;299
Concerning;188
Correspondent;217
Structure;865
Equities;310
Purposes;703
Unissued;964
Actuarial;20
Potential;654
Risking;795
Stage1;853
Value7150000;985
Plan401;638
Recycling;733
Fiscal;347
Refinancing;739
Supplies;887
Corporation;215
After;36
Duewithin;287
Principle;671
Study;868
End;301
Flood;350
Value160000;985
Appeals;60
Physical;636
Liablilty;476
Brokers;113
Similar;838
Repurchaseand;766
More;542
Representing;765
Party1;612
Fundcontra;366
Months;541
Anticipated;59
Represented;765
Acquire;16
Authorized411927;79
Capitalized;128
Retractable;786
Impacts;408
Authorized0;79
Structured;866
Authorized4000;79
Authorized86640;79
Potentially;654
Counterparty;219
Seller;811
Unobservable;969
Value500000;985
Sponsors;848
Interestin;438
Debtnet;238
Next;556
Individual;423
With12;1009
Obligationto;565
Satisfaction;802
Counterparties;219
Reductions;737
Inventories;442
Offerings;569
Authorized250;79
Exercisable;324
Status;858
Longer;494
Respectively.;775
Area;64
Optioned;582
Authorized1767358;79
Curent;229
Currencies;228
Over250000;593
Repurchased;767
Controlled;209
Value600000;985
Others;587
Authorized3500;79
Residual;773
Charters;149
Value1;985
Maturitiesand;515
Inducement;424
Borrowers;108
Global;377
Holding;399
Residential;772
Value200000;985
Personal;632
Agents;39
Jackpots;452
Properties;692
Aid;43
Associate;72
Systems;893
Value10000;985
Serviced;821
Therapeutics;912
Hydro;404
Measurement;518
Measured;517
Jobs;453
Authorized38232;79
Consignors;193
Reimbursements;748
Power;655
Continued;202
And20450;56
Authorized193661;79
Authorized300;79
Type;941
Rescissions;769
Authorized15500;79
Distributed;271
Changes;145
Releted;751
Officer;571
Owed;597
Distributionin;272
Enterprises;304
Custodian;230
Series1;817
And987;56
Infrastructure;427
Justice;458
Sponsored;849
Spinoff;847
Warranties;1002
Pharma;634
Energyand;302
Payment1;620
Separately;815
High;395
Issuable0.001;446
Collection;171
Authorized88000000;79
Full;364
Stock.001;861
Unpaid;970
Discountand;268
Affiliated;34
Portions;647
Place;637
Unconsolidated;952
Covered;222
Par70000000;604
