0001113256-17-000116;2017-09-30
0000019149-13-000007;2012-10-31
0001308411-13-000003;2012-09-30
0001213900-13-000396;2012-10-31
0001477932-13-000878;2011-12-31
0001193125-13-062356;2012-12-31
0000700841-13-000008;2012-12-29
0001047469-13-001192;2012-12-31
0000939767-13-000008;2012-12-31
0000941548-13-000010;2012-12-31
0001065280-13-000008;2012-12-31
0001193125-13-069749;2012-12-31
0001165527-13-000126;2012-09-30
0000095552-13-000009;2012-12-31
0000739421-13-000007;2012-12-31
0000867665-13-000012;2012-12-31
0000889348-13-000009;2012-12-31
0001415889-13-000512;2012-12-31
0001020710-13-000008;2012-12-31
0001105472-13-000012;2012-12-31
0001372167-13-000019;2011-09-30
0001348259-13-000047;2012-12-31
0001375247-13-000002;2012-12-31
0001404306-13-000008;2012-12-31
0001193125-13-087670;2012-12-31
0001079974-13-000157;2012-09-30
0001532619-13-000017;2012-12-31
0001052918-13-000107;2012-12-31
0001099910-13-000075;2012-12-31
0001553350-13-000061;2012-12-31
0001062993-13-002086;2012-12-31
0001137171-13-000158;2012-12-31
0001062993-13-001563;2012-12-31
0001178924-13-000057;2012-12-31
0001446687-13-000025;2012-12-31
0001096906-13-000871;2012-12-31
0001448788-13-000081;2011-12-31
0001193805-13-000977;2012-12-31
0001262463-13-000255;2012-12-31
0000107140-13-000023;2013-04-30
0000726514-13-000061;2013-03-30
0001262463-13-000418;2012-06-30
0001002014-13-000277;2012-12-31
0001543679-13-000039;2013-02-28
0001157523-13-003318;2013-04-28
0001477932-13-003221;2013-03-31
0001554906-13-000009;2013-04-30
0000070502-13-000299;2013-05-31
0001524829-13-000061;2013-04-30
0001372167-13-000095;2013-04-30
0000098618-13-000011;2013-06-30
0000100378-13-000044;2013-06-30
0001144204-13-051384;2013-06-30
0001354488-13-005437;2013-06-30
0001273511-13-000077;2013-05-31
0001171520-13-000639;2013-06-30
0001524777-13-000454;2013-06-30
0001096906-13-001731;2013-08-31
0001019687-13-004444;2013-08-31
0001354488-13-005958;2013-08-31
0001469709-13-000674;2013-07-31
0001079973-13-000676;2013-08-31
0001078782-13-002474;2013-09-30
0001095435-13-000089;2013-03-31
0001554795-13-000754;2013-09-30
0001338624-14-000003;2013-09-30
0001338624-14-000005;2013-09-30
0001091818-14-000028;2013-09-30
0000768251-14-000008;2013-12-31
0000866829-14-000006;2013-12-31
0000895417-14-000018;2013-12-31
0000916365-14-000056;2013-12-28
0000939767-14-000009;2013-12-31
0001000229-14-000025;2013-12-31
0001193125-14-072955;2013-12-29
0001105472-14-000021;2013-12-31
0001095435-14-000011;2013-03-31
0001372167-14-000039;2013-09-30
0001047469-14-001034;2013-12-31
0001594062-14-000045;2013-08-31
0001390844-14-000004;2013-12-31
0001062993-14-000941;2013-11-30
0001504167-14-000084;2013-10-31
0001554795-14-000104;2013-09-30
0001173375-14-000027;2013-10-31
0000081061-14-000002;2013-12-28
0000095552-14-000006;2013-12-31
0000883945-14-000010;2013-12-31
0001020710-14-000008;2013-12-31
0001554795-14-000227;2013-12-31
0001230634-14-000004;2013-12-31
0001302946-14-000008;2013-12-31
0001327603-14-000009;2013-12-31
0001328300-14-000004;2013-12-31
0001372167-14-000089;2013-11-30
0001446687-14-000015;2013-12-31
0001546609-14-000009;2013-12-31
0001078782-14-000322;2012-12-31
0000087047-14-000004;2013-12-31
0001019687-14-001589;2014-01-31
0000038074-14-000019;2014-03-31
0001213900-14-003766;2013-12-31
0000914025-14-000014;2014-03-31
0000949353-14-000093;2013-12-31
0001002014-14-000257;2013-12-31
0001511164-14-000229;2013-03-31
0001570937-14-000004;2014-03-31
0000107140-14-000023;2014-04-30
0001022408-14-000030;2014-03-31
0001552781-14-000649;2014-03-31
0001589728-14-000050;2014-03-31
0001579541-14-000009;2014-04-30
0000098618-14-000018;2014-06-30
0000100378-14-000055;2014-06-30
0001079973-14-000482;2014-05-31
0000880059-14-000070;2014-06-30
0000946283-14-000024;2014-07-31
0000785786-14-000044;2014-09-27
0001113256-14-000036;2014-09-30
0001445305-14-005158;2014-09-26
0001079974-14-000837;2013-08-31
0001437925-14-000018;2014-07-31
0001354488-14-005678;2014-01-31
0001193125-14-455651;2013-12-31
0000936395-14-000063;2014-10-31
0001354488-14-006047;2014-08-31
0000040545-15-000030;2014-12-31
0000040545-15-000032;2014-12-31
0000077877-15-000012;2014-12-31
0000703604-15-000022;2014-12-31
0000866829-15-000010;2014-12-31
0000916365-15-000042;2014-12-27
0001405495-15-000010;2014-12-03
0000018255-15-000009;2015-01-31
0001354488-15-001467;2014-12-31
0000072333-15-000041;2015-01-31
0000095552-15-000015;2014-12-31
0000711665-15-000017;2014-12-31
0001354488-15-001113;2014-12-31
0000939767-15-000013;2014-12-31
0001020710-15-000006;2014-12-31
0001082278-15-000018;2014-12-31
0001354488-15-001497;2014-12-31
0001230634-15-000003;2014-12-31
0001140361-15-011815;2014-12-31
0001327603-15-000006;2014-12-31
0001328300-15-000004;2014-12-31
0001056520-15-000025;2014-12-31
0001354488-15-001079;2014-11-30
0001446687-15-000031;2014-12-31
0001546609-15-000015;2014-12-31
0001560443-15-000027;2014-12-31
0001387131-15-001133;2014-09-30
0001019687-15-001648;2013-12-31
0001286345-15-000028;2014-12-31
0001551163-15-000108;2014-12-31
0001002014-15-000149;2014-11-30
0001079974-15-000274;2013-12-31
0000914025-15-000019;2015-03-31
0001615774-15-001789;2015-03-31
0001528749-15-000052;2014-12-31
0000100378-15-000065;2015-06-30
0000008411-15-000112;2015-09-30
0001047469-15-008965;2015-09-30
0001113256-15-000031;2015-09-30
0001640334-15-000316;2015-07-31
0001102624-15-001827;2015-09-30
0000007332-16-000043;2015-12-31
0000089439-16-000038;2015-12-26
0001628280-16-011068;2015-12-27
0001628280-16-011839;2015-12-31
0001013871-16-000022;2015-12-31
0000095552-16-000033;2015-12-31
0000700841-16-000036;2016-01-02
0001445866-16-001826;2015-12-31
0000868740-16-000091;2015-12-31
0000868740-16-000092;2015-12-31
0001002105-16-000157;2015-12-31
0001013871-16-000022;2015-12-31
0001017303-16-000085;2015-12-31
0000868740-16-000093;2015-12-31
0000868740-16-000094;2015-12-31
0000868740-16-000095;2015-12-31
0001327603-16-000030;2015-12-31
0000868740-16-000096;2015-12-31
0001327603-16-000032;2015-12-31
0001446687-16-000126;2015-12-31
0001546609-16-000108;2015-12-31
0001548621-16-000028;2015-12-29
0001642985-16-000021;2015-12-31
0001640334-16-000918;2015-08-31
0001629702-16-000010;2015-10-31
0000914025-16-000070;2016-03-31
0000107140-16-000050;2016-04-30
0001079974-16-001359;2016-02-29
0001079974-16-001364;2016-02-29
0001354488-16-007755;2016-03-31
0001654954-16-001861;2016-05-31
0001262976-16-000073;2016-06-30
0001652871-16-000003;2016-06-30
0001511164-16-001039;2016-03-31
0001520138-16-001202;2014-12-31
0001683168-16-000633;2016-08-31
0000011544-17-000009;2016-12-31
0000075677-17-000004;2016-12-31
0001021561-17-000019;2016-12-31
0001668523-17-000004;2016-12-31
0000082811-17-000017;2016-12-31
0000095552-17-000003;2016-12-31
0001002105-17-000006;2016-12-31
0001062822-17-000013;2016-12-31
0001104659-17-014118;2016-12-31
0001275477-17-000025;2016-12-31
0001642985-17-000044;2016-12-31
0000946275-17-000017;2016-12-31
0001642985-17-000046;2016-12-31
0001654948-17-000023;2016-12-31
0001668523-17-000006;2016-12-31
0001446687-17-000028;2016-12-31
0000914025-17-000023;2017-03-31
0000107140-17-000026;2017-04-30
0001078782-17-000988;2017-03-31
0000876883-17-000016;2016-12-31
0001377469-17-000055;2013-06-30
0000021510-17-000036;2017-09-30
0001047469-17-007051;2017-09-30
0001582244-17-000114;2017-09-30
0000804269-18-000010;2017-12-31
0001000228-18-000012;2017-12-30
0001373715-18-000058;2017-12-31
0001062993-18-001019;2017-11-30
0001482512-18-000031;2017-12-31
0001521332-18-000013;2017-12-31
0001551163-18-000010;2017-09-30
0000007332-18-000016;2017-12-31
0001168220-18-000008;2017-12-31
0001684506-18-000005;2017-11-30
0001702780-18-000002;2017-12-31
0001445866-18-000407;2017-12-31
0001580957-18-000200;2017-12-31
0001446687-18-000019;2017-12-31
0001171520-18-000190;2016-12-31
0001654948-18-000018;2017-12-31
0001654948-18-000020;2017-12-31
0001696411-18-000007;2017-12-31
0001642985-18-000051;2017-12-31
0001642985-18-000053;2017-12-31
0001703625-18-000013;2018-04-30
0001703625-18-000015;2018-04-30
0001047469-18-007225;2018-09-30
0001721868-18-000749;2018-07-31
0001628280-18-014867;2018-09-30
0001642985-19-000003;2018-12-31
0000950159-19-000052;2018-12-31
0001761088-19-000044;2019-01-31
0001062993-19-002868;2019-04-30
0001019687-12-001389;2011-12-31
0001010549-12-000409;2011-12-31
0001002014-12-000218;2011-12-31
0001446687-12-000021;2011-12-31
0001026608-12-000038;2011-12-31
0001487252-12-000055;2011-12-31
0000018255-12-000010;2012-01-28
0000708821-12-000018;2011-12-31
0001354488-12-001668;2011-12-31